FIMAKSUFI21XXXETELA-PIRKANMAAN OSUUSPANKKI                                                                             AKSUFI21                                                              TOIJALA                       NSWBVALTATIE 8                                                                                                                                  
FIMALCYFR21XXXHSBC FRANCE                                                                                              ALCYFR21                                                              NEUILLY SUR SEINE             NSWB127 AVENUE CHARLES DE GAULLE                                                                                                                
FIMALFIFRP1XXXCANDRIAM FRANCE                                                                                          ALFIFRP1                                                              PARIS                         NSWB45 RUE SAINT-DOMINIQUE                                                                                                                      
FIMALGEFRP1XXXDOM FINANCE                                                                                              ALGEFRP1                                                              PARIS                         NSWB85 BLD HAUSSMANN                                                                                                                            
FIMALGNGB21XXXALGOENGINEERING EUROPE LIMITED                                                                           ALGNGB21                                                              LONDON                        NSWBBUSINESS DESIGN CENTRE             52 UPPER STREET                                                                                          
FIDALIKATW1XXXALLIANZ INVEST KAPITALANLAGEGESELLSCHAFT MBH                                                             ALIKATW1                                                              VIENNA                        NSWBHIETZINGER KAI 101-105                                                                                                                      
FIAALIKATW2XXXALLIANZ INVEST KAPITALANLAGEGESELLSCHAFT MBH                                                             ALIKATW2                                                              VIENNA                        NSWBHIETZINGER KAI 101-105                                                                                                                      
FIMALMDTRI1XXXALAN YATIRIM MENKUL DEGERLER AS                                                                          ALMDTRI1                                                              ISTANBUL                      NSWBHALASKARGAZI C N 360/14            SISLI                                                                                                    
FIMALNCFRP1XXXAURIS GESTION                                                                                            ALNCFRP1                                                              PARIS                         NSWB10 RUE CLEMENT MAROT                                                                                                                        
FIMALNHITR1XXXALBERGO D'INGHILTERRA SOCIETA' A RESPONSABILITA' LIMITATA                                                ALNHITR1                                                              ROMA                          NSWBLARGO NICOLA SPINELLI 5                                                                                                                     
FIMALNIFRP1XXXTRUSTEAM FINANCE                                                                                         ALNIFRP1                                                              PARIS                         NSWB1 RUE DE LA BOURSE                                                                                                                          
FIDALNUNZ21XXXALLOZY FINANCIAL GROUP LIMITED                                                                           ALNUNZ21                                                              AUCKLAND                      NSWB6G/14 WAIKUMETE ROAD               GLEN EDEN                                                                                                
FIMALRGITM1XXXINCOMING ITALIA S.P.A.                                                                                   ALRGITM1                                                              MILANO                        NSWBVIA ALESSANDRO ANTONELLI 3                                                                                                                  
FIMALRNIT21XXXALIMENTARI NORDITALIA S.P.A.ALINOR C/SIGLA ALINOR SPA                                                    ALRNIT21                                                              RIPALTA CREMASCA              NSWBVIA VITTORIO VENETO 1-C                                                                                                                     
FIMALSITRI1XXXALAN YATIRIM MENKUL DEGERLER AS                                                                          ALSITRI1                                                              ISTANBUL                      NSWBTESVIKIYE CAD. 103                 IKBAL IS MERKEZI                   FLOOR 7                                                               
FIMALSPDK21XXXDEN JYSKE SPAREKASSE A/S                                                                                 ALSPDK21                                                              VIBORG                        NSWBSILKEBORGVEJ 20                                                                                                                             
FIMALTMFRP1XXXALTIMEO ASSET MANAGEMENT                                                                                 ALTMFRP1                                                              PARIS                         NSWB19 RUE DE LA PAIX                                                                                                                           
FIMALTZFR21XXXENI GAS AND POWER FRANCE                                                                                 ALTZFR21                                                              LEVALLOIS PERRET              NSWB24 RUE J IBERT                                                                                                                              
FIAALUSGB21OMNALTUS LIMITED                                                                                            ALUSGB21                                                              BATH                          NSWBROYAL MEAD                                                                                                                                  
FIMALVMGB21XXXALLIANCE TRUST EQUITY PARTNERS LIMITED                                                                   ALVMGB21                                                              EDINBURGH                     NSWB107 GEORGE STREET                                                                                                                           
FIMAMAOITM1XXXAMBROS SARO S.R.L.                                                                                       AMAOITM1                                                              MILANO                        BEIDVIA SANTA TECLA 3                                                                                                                           
FIMAMCCITM1XXXSVILUPPO 1 S.P.A.                                                                                        AMCCITM1                                                              MILANO                        NSWBVIA OREFICI 26                                                                                                                              
FIMAMGSFRP1XXXAMPLEGEST                                                                                                AMGSFRP1                                                              PARIS                         NSWB77 RUE BOISSIERE                                                                                                                            
FIMAMSMFRP1XXXSANSO INVESTMENT SOLUTIONS                                                                               AMSMFRP1                                                              PARIS                         NSWB2 RUE CHAUVEAU-LAGARDE                                                                                                                      
FIDANCAUS31XXXANCHOR CAPITAL ADVISORS, INC.                                                                            ANCAUS31                                                              BOSTON,MA                     NSWB1 POST OFFICE SQUARE               SUITE 3850                                                                                               
FIMANEMTRI1XXXAEGON EMEKLILIK VE HAYAT A.S.                                                                            ANEMTRI1                                                              ISTANBUL                      NSWBBOLKAN CENTER                      FLOOR 2-3-4                        ABIDE-I HUERRIYET 285                                                 
FIMANKENO21XXXSPAREBANKEN NARVIK                                                                                       ANKENO21                                                              NARVIK                        NSWBKONGERS GT. 34                                                                                                                              
FIMANNFFRL1XXXBNP PARIBAS PERSONAL FINANCE                                                                             ANNFFRL1                                                              LILLE                         NSWB70 RUE SAINT SAUVEUR                                                                                                                        
FIAANPTAU32XXXFLINDERS INVESTMENT PARTNERS PTY LTD                                                                     ANPTAU32                                                              MELBOURNE                     NSWB385 BOURKE STREET                  FLOOR 15                                                                                                 
FIMANSNITM1XXXAZIENDA SOLARE ITALIANA S.P.A.                                                                           ANSNITM1                                                              MILANO                        NSWBPIAZZA G. AMENDOLA 3                                                                                                                        
FIMANTNFRP1XXXANTIN BAIL 2                                                                                             ANTNFRP1                                                              PARIS                         NSWB41 AVENUE DE L'OPERA                                                                                                                        
FIAAPIGFR22INTAPICIL GESTION                                                                                           APIGFR22                                                              PARIS                         CORP89 RUE DAMREMONT                                                                                                                            
